A_s 	 n_s 	 omega_cdm
2.1331334936872127e-09	0.9649	0.12
2.283739412769563e-09	0.9649	0.12
2.2972411279390287e-09	0.9649	0.12
1.8782299200981207e-09	0.9649	0.12
2.1662012040748627e-09	0.9649	0.12
2.1203087500187502e-09	0.9649	0.12
2.083345043486041e-09	0.9649	0.12
2.0878674466547093e-09	0.9649	0.12
2.1846277057263987e-09	0.9649	0.12
2.3603983282835978e-09	0.9649	0.12
2.294301749450265e-09	0.9649	0.12
2.3716650514300026e-09	0.9649	0.12
2.3567510852357237e-09	0.9649	0.12
2.0538984778106125e-09	0.9649	0.12
2.30048717738189e-09	0.9649	0.12
2.37275607130365e-09	0.9649	0.12
2.1818276319412317e-09	0.9649	0.12
1.9563618754177442e-09	0.9649	0.12
2.1604105416950253e-09	0.9649	0.12
2.321242286643743e-09	0.9649	0.12
1.8340714589792123e-09	0.9649	0.12
2.3178791283870916e-09	0.9649	0.12
2.2371284105188936e-09	0.9649	0.12
1.982584062114219e-09	0.9649	0.12
2.0962438833076816e-09	0.9649	0.12
2.3115652988046718e-09	0.9649	0.12
2.1664946864089013e-09	0.9649	0.12
1.8992874917929265e-09	0.9649	0.12
2.1206613483751265e-09	0.9649	0.12
1.9175583439289423e-09	0.9649	0.12
2.207268202779751e-09	0.9649	0.12
2.1342495037725565e-09	0.9649	0.12
1.898855542429756e-09	0.9649	0.12
2.364497743177227e-09	0.9649	0.12
2.130771952558615e-09	0.9649	0.12
2.196534337752947e-09	0.9649	0.12
2.2078085157812156e-09	0.9649	0.12
2.2963671344865998e-09	0.9649	0.12
1.8131352395578127e-09	0.9649	0.12
2.31370686866759e-09	0.9649	0.12
2.0660431298019e-09	0.9649	0.12
2.0914741779481334e-09	0.9649	0.12
2.2341583888059914e-09	0.9649	0.12
2.309114810182752e-09	0.9649	0.12
1.8729517935350665e-09	0.9649	0.12
2.172417320381472e-09	0.9649	0.12
1.937814421861778e-09	0.9649	0.12
1.8288338758860783e-09	0.9649	0.12
1.973394131272776e-09	0.9649	0.12
1.981191755079132e-09	0.9649	0.12
1.8850943215897704e-09	0.9649	0.12
2.2387767649237554e-09	0.9649	0.12
1.927038648198371e-09	0.9649	0.12
2.2795108925334823e-09	0.9649	0.12
2.2387381175975213e-09	0.9649	0.12
2.0129883038774207e-09	0.9649	0.12
1.9365362513527576e-09	0.9649	0.12
1.945837761926167e-09	0.9649	0.12
1.870605726255797e-09	0.9649	0.12
2.3689270801747963e-09	0.9649	0.12
2.1297080097457674e-09	0.9649	0.12
2.3424948488973978e-09	0.9649	0.12
2.3369462649036464e-09	0.9649	0.12
1.8131821160662153e-09	0.9649	0.12
2.3263216821345833e-09	0.9649	0.12
1.985873384511165e-09	0.9649	0.12
2.3737693630543055e-09	0.9649	0.12
1.8146461329634871e-09	0.9649	0.12
2.390775626323243e-09	0.9649	0.12
2.2936393184728685e-09	0.9649	0.12
1.995893232296594e-09	0.9649	0.12
1.984066955490959e-09	0.9649	0.12
2.051775056431453e-09	0.9649	0.12
2.0089999466271615e-09	0.9649	0.12
2.375300444165037e-09	0.9649	0.12
2.068047775584229e-09	0.9649	0.12
1.989655026145621e-09	0.9649	0.12
2.2194596557217386e-09	0.9649	0.12
1.8594947370579909e-09	0.9649	0.12
2.3753820950605956e-09	0.9649	0.12
2.305467467234945e-09	0.9649	0.12
2.2364787617610088e-09	0.9649	0.12
2.2384643896532236e-09	0.9649	0.12
1.873613967464097e-09	0.9649	0.12
2.093557505917091e-09	0.9649	0.12
2.1455324509239108e-09	0.9649	0.12
1.9902046452674824e-09	0.9649	0.12
2.282959348295367e-09	0.9649	0.12
2.3340795086951887e-09	0.9649	0.12
2.2273110656808804e-09	0.9649	0.12
2.377295554907539e-09	0.9649	0.12
2.0460688125268714e-09	0.9649	0.12
2.1177499466667897e-09	0.9649	0.12
2.2715847894086967e-09	0.9649	0.12
1.8119115322580507e-09	0.9649	0.12
2.1429830768608476e-09	0.9649	0.12
2.1007836877450415e-09	0.9649	0.12
2.1933474782595293e-09	0.9649	0.12
2.3272380826973405e-09	0.9649	0.12
2.1626152952013465e-09	0.9649	0.12
