A_s 	 n_s 	 omega_cdm
1.883775097506553e-09	0.9649	0.12
2.0486368122150707e-09	0.9649	0.12
1.8253787166679546e-09	0.9649	0.12
1.6357138184442035e-09	0.9649	0.12
2.5467997751424544e-09	0.9649	0.12
2.260674221392379e-09	0.9649	0.12
1.928022449500778e-09	0.9649	0.12
1.586045119237605e-09	0.9649	0.12
2.2566207102341017e-09	0.9649	0.12
2.2233930318765537e-09	0.9649	0.12
1.6156607013232998e-09	0.9649	0.12
1.573221861655193e-09	0.9649	0.12
1.7895586396737648e-09	0.9649	0.12
1.7874844044657954e-09	0.9649	0.12
2.4342456584827146e-09	0.9649	0.12
1.5561213572777877e-09	0.9649	0.12
1.9306343347741863e-09	0.9649	0.12
2.0679999243456454e-09	0.9649	0.12
2.4260959034091356e-09	0.9649	0.12
2.5412199653769592e-09	0.9649	0.12
2.43814457160586e-09	0.9649	0.12
1.7760801872041417e-09	0.9649	0.12
2.417467058264344e-09	0.9649	0.12
2.034662445799432e-09	0.9649	0.12
1.7659240821648264e-09	0.9649	0.12
2.24930157699554e-09	0.9649	0.12
1.6744682119650645e-09	0.9649	0.12
1.611506217131206e-09	0.9649	0.12
2.0300734975177266e-09	0.9649	0.12
1.8520258302325038e-09	0.9649	0.12
1.832683077196871e-09	0.9649	0.12
2.163853704314602e-09	0.9649	0.12
2.6631903786384452e-09	0.9649	0.12
2.335887613141406e-09	0.9649	0.12
2.2787500967762127e-09	0.9649	0.12
2.375995126136331e-09	0.9649	0.12
2.6309601205239717e-09	0.9649	0.12
1.5617533657231659e-09	0.9649	0.12
1.5076286630079095e-09	0.9649	0.12
1.920649595882784e-09	0.9649	0.12
2.318568643939436e-09	0.9649	0.12
1.8819382457372253e-09	0.9649	0.12
2.4446798816320288e-09	0.9649	0.12
2.231660448542546e-09	0.9649	0.12
1.6394730628293724e-09	0.9649	0.12
2.5692535614817552e-09	0.9649	0.12
1.9156535205870514e-09	0.9649	0.12
2.1664110959957147e-09	0.9649	0.12
2.4838217033675717e-09	0.9649	0.12
2.5304455560267808e-09	0.9649	0.12
2.2577461115659867e-09	0.9649	0.12
1.6843959147722048e-09	0.9649	0.12
2.359223171500453e-09	0.9649	0.12
1.8898729466407694e-09	0.9649	0.12
2.157036976562756e-09	0.9649	0.12
2.212652488277926e-09	0.9649	0.12
1.7829763003461338e-09	0.9649	0.12
1.5185924924411334e-09	0.9649	0.12
2.3789617223085453e-09	0.9649	0.12
1.5663740417387924e-09	0.9649	0.12
2.486800549674843e-09	0.9649	0.12
1.7998984515754493e-09	0.9649	0.12
1.5963531773779939e-09	0.9649	0.12
2.219897633588897e-09	0.9649	0.12
1.7224092965643616e-09	0.9649	0.12
1.7650168111930077e-09	0.9649	0.12
2.1195695572560658e-09	0.9649	0.12
1.56550755281971e-09	0.9649	0.12
1.8130836795123447e-09	0.9649	0.12
1.8103422692942447e-09	0.9649	0.12
1.9347367314103744e-09	0.9649	0.12
2.1098210483370568e-09	0.9649	0.12
1.6873092542562889e-09	0.9649	0.12
2.2018744354168812e-09	0.9649	0.12
1.7321564215049396e-09	0.9649	0.12
1.9024508420293096e-09	0.9649	0.12
1.975880763691971e-09	0.9649	0.12
2.0117886753098794e-09	0.9649	0.12
1.9920641697266652e-09	0.9649	0.12
2.2060272273932048e-09	0.9649	0.12
2.6949937312998087e-09	0.9649	0.12
1.6664055096524767e-09	0.9649	0.12
2.1134432731418185e-09	0.9649	0.12
2.4756902359677464e-09	0.9649	0.12
2.6626636261785164e-09	0.9649	0.12
2.458036597632326e-09	0.9649	0.12
1.7193342963464868e-09	0.9649	0.12
1.6090289637705666e-09	0.9649	0.12
2.49437890592807e-09	0.9649	0.12
1.817772849116584e-09	0.9649	0.12
2.619812723273259e-09	0.9649	0.12
2.6649141902994562e-09	0.9649	0.12
1.732406422281102e-09	0.9649	0.12
2.6620675890150375e-09	0.9649	0.12
2.2836978087769376e-09	0.9649	0.12
1.791338219112442e-09	0.9649	0.12
2.4665887763815263e-09	0.9649	0.12
2.4242790207480054e-09	0.9649	0.12
1.7583424274571906e-09	0.9649	0.12
1.6196152561559064e-09	0.9649	0.12
2.3390620577901337e-09	0.9649	0.12
2.030781977358517e-09	0.9649	0.12
2.1993483521686675e-09	0.9649	0.12
2.3647204833771155e-09	0.9649	0.12
1.9277880846140686e-09	0.9649	0.12
1.8756614052865578e-09	0.9649	0.12
1.5862130445800138e-09	0.9649	0.12
2.0075253547692365e-09	0.9649	0.12
1.78143211400859e-09	0.9649	0.12
1.8723451767081054e-09	0.9649	0.12
1.989887462673097e-09	0.9649	0.12
2.6319973283022253e-09	0.9649	0.12
1.7218357563424473e-09	0.9649	0.12
1.7383305072278739e-09	0.9649	0.12
2.052369537310898e-09	0.9649	0.12
2.6054067833048154e-09	0.9649	0.12
1.6347925050123268e-09	0.9649	0.12
1.970165988062436e-09	0.9649	0.12
1.60079609208214e-09	0.9649	0.12
1.983261905631805e-09	0.9649	0.12
2.556058952860088e-09	0.9649	0.12
1.9034827143663754e-09	0.9649	0.12
2.2921713890004657e-09	0.9649	0.12
2.6315432057433387e-09	0.9649	0.12
1.7131132902829647e-09	0.9649	0.12
2.238562936562359e-09	0.9649	0.12
1.5815075870585278e-09	0.9649	0.12
1.654524949390006e-09	0.9649	0.12
2.0031362203411742e-09	0.9649	0.12
1.6836398175246653e-09	0.9649	0.12
2.5681346393089703e-09	0.9649	0.12
2.213128025476339e-09	0.9649	0.12
2.3244138241263656e-09	0.9649	0.12
1.6258689853631606e-09	0.9649	0.12
2.577091087205926e-09	0.9649	0.12
1.9447818512341172e-09	0.9649	0.12
2.5245316102592977e-09	0.9649	0.12
2.3517910863697974e-09	0.9649	0.12
1.506548611403103e-09	0.9649	0.12
2.2314536157985137e-09	0.9649	0.12
1.5306383859262462e-09	0.9649	0.12
2.0019253042814783e-09	0.9649	0.12
1.5639404280430035e-09	0.9649	0.12
2.6957144204067018e-09	0.9649	0.12
1.5612758561732635e-09	0.9649	0.12
1.6750878437230987e-09	0.9649	0.12
1.8073741261181596e-09	0.9649	0.12
1.9002305457414624e-09	0.9649	0.12
2.3988598655527347e-09	0.9649	0.12
1.7358313999408417e-09	0.9649	0.12
2.5270530255505904e-09	0.9649	0.12
2.0786459613557757e-09	0.9649	0.12
2.6933107310630646e-09	0.9649	0.12
1.921951491096088e-09	0.9649	0.12
2.1491523568862593e-09	0.9649	0.12
1.7699503191898172e-09	0.9649	0.12
2.2790111580520386e-09	0.9649	0.12
2.27561911782156e-09	0.9649	0.12
2.4614954071029044e-09	0.9649	0.12
2.1888410320331817e-09	0.9649	0.12
1.9130168721629023e-09	0.9649	0.12
2.6891491600971527e-09	0.9649	0.12
2.212771843190025e-09	0.9649	0.12
2.525266052860202e-09	0.9649	0.12
1.8845814488697844e-09	0.9649	0.12
2.4800120814139356e-09	0.9649	0.12
1.846204822329407e-09	0.9649	0.12
2.2985380576037598e-09	0.9649	0.12
1.6429725044084828e-09	0.9649	0.12
2.6811905718178024e-09	0.9649	0.12
2.466219446112462e-09	0.9649	0.12
2.6198149817817315e-09	0.9649	0.12
2.3862865749543998e-09	0.9649	0.12
1.882517085525529e-09	0.9649	0.12
2.703270712621177e-09	0.9649	0.12
2.124611128799276e-09	0.9649	0.12
1.9194148050085244e-09	0.9649	0.12
2.478249261762137e-09	0.9649	0.12
1.8488395888265662e-09	0.9649	0.12
1.7461791352194961e-09	0.9649	0.12
