A_s 	 n_s 	 omega_cdm
1.5965699472487487e-09	0.9649	0.12
2.440902550688138e-09	0.9649	0.12
2.031091077729072e-09	0.9649	0.12
2.3731582133971296e-09	0.9649	0.12
2.6785874143959234e-09	0.9649	0.12
2.1511950444925205e-09	0.9649	0.12
2.1063445563919255e-09	0.9649	0.12
1.591461360031714e-09	0.9649	0.12
1.8271267761222455e-09	0.9649	0.12
2.1048590009906722e-09	0.9649	0.12
2.3200759953451285e-09	0.9649	0.12
2.4694868433252507e-09	0.9649	0.12
1.9621293597782463e-09	0.9649	0.12
1.5841236162870862e-09	0.9649	0.12
1.8507747191695923e-09	0.9649	0.12
2.5965122332635364e-09	0.9649	0.12
1.7610624242958986e-09	0.9649	0.12
2.0475487541812198e-09	0.9649	0.12
2.622447223626826e-09	0.9649	0.12
1.5348790730604177e-09	0.9649	0.12
